PLAYER,TEAM,YEAR,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Rudy Gobert,MIN,2023,30,70,34,36,30.7,13.4,5.1,7.8,65.9,0,0,0,3.1,4.9,64.4,3.3,8.3,11.6,1.2,1.7,0.8,1.4,3,34,35,0,-0.1
Jusuf Nurkic,POR,2023,28,52,24,28,26.8,13.3,5,9.7,51.9,0.8,2.3,36.1,2.4,3.7,66.1,2.2,6.9,9.1,2.9,2.3,0.8,0.8,3.6,31.2,18,0,0.2
Kris Dunn,UTA,2023,29,22,8,14,25.8,13.2,5.3,9.8,53.7,0.8,1.6,47.2,1.9,2.4,77.4,0.4,4.1,4.5,5.6,1.6,1.1,0.5,2.6,30.3,3,0,-2.8
John Collins,ATL,2023,25,71,37,34,30,13.1,5.1,10,50.8,1,3.4,29.2,2,2.5,80.3,1.1,5.4,6.5,1.2,1.1,0.6,1,3.1,26.5,11,0,-0.3
Cole Anthony,ORL,2023,23,60,28,32,25.9,13,4.6,10.2,45.4,1.3,3.4,36.4,2.5,2.8,89.4,0.8,4,4.8,3.9,1.5,0.6,0.5,2.6,26.5,1,0,-0.4
Austin Reaves,LAL,2023,25,64,35,29,28.8,13,4,7.7,52.9,1.3,3.4,39.8,3.6,4.1,86.4,0.5,2.5,3,3.4,1.5,0.5,0.3,1.7,22.6,1,0,3.3
Tre Jones,SAS,2023,23,68,20,48,29.2,12.9,5,10.9,45.9,0.7,2.3,28.5,2.2,2.5,86,0.8,2.8,3.6,6.6,1.6,1.3,0.1,1.4,29.8,6,2,-4.8
Jabari Smith Jr.,HOU,2023,20,79,21,58,31,12.8,4.6,11.3,40.8,1.5,4.9,30.7,2.1,2.6,78.6,1.5,5.7,7.2,1.3,1.3,0.5,0.9,2.9,26.5,16,0,-7
Alec Burks,DET,2023,31,51,12,39,22,12.8,3.9,9,43.6,1.9,4.7,41.4,3,3.7,81.4,0.4,2.7,3.1,2.2,1.1,0.7,0.2,1.9,21.4,0,0,-0.1
Kenyon Martin Jr.,HOU,2023,22,82,22,60,28,12.7,5,8.8,56.9,0.8,2.6,31.5,1.8,2.7,68,1.5,4,5.5,1.5,1.1,0.5,0.4,1.8,23,5,0,-4.5
Malik Beasley,LAL,2023,26,81,45,36,25.8,12.7,4.6,11.6,39.5,2.9,8.1,35.7,0.6,0.8,76.9,0.4,3.1,3.5,1.5,1.1,0.8,0.1,1.3,20.8,1,0,-1.1
Nic Claxton,BKN,2023,24,76,41,35,29.9,12.6,5.4,7.7,70.5,0,0,0,1.8,3.2,54.1,2.4,6.8,9.2,1.9,1.3,0.9,2.5,2.8,35.3,28,0,1.6
Dennis Schroder,LAL,2023,29,66,37,29,30.1,12.6,4.1,9.8,41.5,1.1,3.4,32.9,3.3,3.8,85.7,0.3,2.2,2.5,4.5,1.7,0.8,0.2,2.2,23.4,2,0,1.9
Mac McClung,PHI,2023,24,2,2,0,20.5,12.5,4.5,10,45,2,5.5,36.4,1.5,2.5,60,1.5,3.5,5,4.5,1.5,0,0,1.5,23.8,0,0,9
Jakob Poeltl,TOR,2023,27,72,26,46,26.5,12.5,5.4,8.6,62.9,0,0,0,1.7,2.8,59.2,3.3,5.8,9.1,2.7,1.7,0.9,1.2,2.7,32,19,0,-2
Kelly Olynyk,UTA,2023,32,68,28,40,28.6,12.5,4.1,8.2,49.9,1.4,3.5,39.4,2.9,3.4,85.3,1.2,5,6.2,3.7,2.5,0.9,0.5,3.4,27.2,9,0,0.2
Eric Gordon,LAC,2023,34,69,25,44,28.5,12.4,4.2,9.5,44.6,1.9,5.2,37.1,2.1,2.5,82.1,0.2,1.7,1.9,2.7,1.5,0.6,0.4,1.1,20.2,0,0,-3
Derrick White,BOS,2023,28,82,57,25,28.3,12.4,4.3,9.2,46.2,1.8,4.8,38.1,2,2.3,87.5,0.6,2.9,3.6,3.9,1.2,0.7,0.9,2.2,26.2,7,0,6
Keegan Murray,SAC,2023,22,80,47,33,29.8,12.2,4.4,9.8,45.3,2.6,6.3,41.1,0.8,1,76.5,1.1,3.5,4.6,1.2,0.8,0.8,0.5,2,22.7,4,0,1.2
Caris LeVert,CLE,2023,28,74,45,29,30.2,12.1,4.3,10,43.1,1.7,4.4,39.2,1.8,2.4,72.2,0.7,3.1,3.8,3.9,1.6,1,0.3,2.3,24.8,1,0,2.6
Jaden McDaniels,MIN,2023,22,79,41,38,30.6,12.1,4.7,9.1,51.7,1.4,3.4,39.8,1.3,1.8,73.6,1.2,2.7,3.9,1.9,1.4,0.9,1,3.4,23.8,0,0,0.9
